First Steps,first-round.png
Bullseye,bullseye.png
Sharpshooter,sharpshooter.png
On a Roll,on-a-roll.png
Unstoppable,unstoppable.png
Centurion,centurion.png
Rising Historian,level-5.png
Master of Time,level-10.png
Coin Hoarder,coin-hoarder.png
Dedicated,dedicated.png
Warming Up,warming-up.png
Deadeye,deadeye.png
Time Lord,time-lord.png
Flow State,flow-state.png
Creature of Habit,daily-streak-3.png
Week of Wisdom,daily-streak-7.png
Historian in Residence,daily-streak-30.png
First Exhibit,first-artefact.png
Curator,curator.png
Grand Curator,grand-curator.png
Scholar,scholar.png
Chronicler,chronicler.png
Living Legend,living-legend.png
Marathoner,marathoner.png
Completionist,completionist.png
Treasure Vault,treasure-vault.png
Chronomancer,level-20.png
Timeless,level-30.png
